Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
52,200100520000000000, OJINAGA ,83883803.68,42408045.52,6266125.97,14147953.69,7422636,1411213.71,3000000,1302293.2,3000000,4925535.59,0,0,89839567.23,46408624.08,3955347.78,5367147.61,6097347.48,0,2495210.53,0,6589817.14,18894707.73,31364.88,0,26304,2014
53,200100530000000000, PRAXEDIS G. GUERRERO ,24403986.85,9132500,2770534.21,3999800,1379500,549000,2109204.9,241981,1699729.4,2521737.34,0,0,21784061.93,8231840.05,2095143.83,3649493.21,1430476.77,0,1691983.37,0,1988656.68,2696468.02,0,0,4799,2014
54,200100540000000000, RIVA PALACIO ,40138493.87,9949270,4780500,7336500,4818000,1148000,5693293.23,1000000,1202853.62,4210077.02,0,0,37964652.25,12329096.71,6574885.94,6516141.49,5345190.34,0,2221292.56,0,1108160.1,3737885.11,132000,0,8012,2014
55,200100550000000000, ROSALES ,45539796.75,13751695.82,4428116.77,5198574.98,2403210.48,536500,1603081.52,4963746.59,3834832.81,8820037.78,0,0,16064640.48,5761974.54,1793679.03,1212380.37,1708733.31,0,1157937.47,8224.85,3632537.48,789173.43,0,0,16785,2014
56,200100560000000000, ROSARIO ,19302301.36,6057733.33,1206600,2060000,3779000,1072000,2488737.99,121886,1341915.42,1174428.62,0,0,19597466.45,6583520.99,1421989.74,3471504.48,4580998,0,1631576.26,0,836100.67,1071776.31,0,0,2235,2014
57,200100570000000000, SAN FRANCISCO DE BORJA,19447006.75,9417340.69,1948139,2450870,1625273.23,0,1512670.9,0,1289383.38,1203329.55,0,0,21206572.55,9406700.52,3485987.1,2968018.15,2426332.11,20460.76,687794.12,0,1478690.32,732589.47,0,0,2290,2014
58,200100580000000000, SAN FRANCISCO DE CONCHOS ,21128249.56,8494000,1771100,2438100,3404620.23,180000,2711000,0,561948.08,1567481.25,0,0,25208208.07,9116089.72,1985456.51,3320077.91,3824989.56,0,316595.29,0,561948.08,1393950.49,4689100.51,0,2983,2014
59,200100590000000000, SAN FRANCISCO DEL ORO ,37797059.28,23265784.85,1327080.59,2958000,2990000,0,703022,2650846,1404760.18,2497565.66,0,0,38829119.8,23426537.29,1433079.39,4247384.08,3574780.42,0,1769976.29,0,2083222.85,2294139.48,0,0,4753,2014
60,200100600000000000, SANTA BARBARA ,63593394.77,31015584.52,3049970,5079993.6,3248651,163050,13202950.18,83000,2271104.98,5479090.49,0,0,71695568.46,40719056.85,4759139.92,10526297.8,3602296.19,0,4555107.68,0,2148631.01,5385039.01,0,0,10427,2014
61,200100610000000000, SANTA ISABEL ,22174490.9,9128074.28,1825500,4885250,1792248,510000,705594.87,500000,759042.77,2068780.98,0,0,24051109.95,8080407.97,3760315.1,5965743,2106834.15,0,1518486.42,0,700357.65,1918965.66,0,0,3937,2014
62,200100620000000000, SATEVO,26100559.04,8742548.63,5572800,3139420,1920000,1464672.85,2173068,0,1163773.22,1924276.34,0,0,28840149.8,9276369.2,6053132.15,3881256.02,1700173.18,0,4280877.05,4500,1275797.23,1833049.23,534995.74,0,3662,2014
63,200100630000000000, SAUCILLO ,88223613.97,33459321.04,4320750.23,8057827,7515211.06,1157200,6585050.76,2670000,5397389.88,19060864,0,0,101843210,31001047.96,5973245.59,18513523.1,9880521.3,0,16034109.7,0,6995684.63,13445077.68,0,0,32325,2014
64,200100640000000000, TEMOSACHIC ,31868910.66,9645197.96,2483830,3487000,2798469.45,1084000,2614835,0,6491875.26,3263702.99,0,0,28918293.75,9857386.5,4721714.87,2822511.57,2254598.86,1159814.82,1057899.41,0,1901945.51,3603472.84,1538949.37,0,6211,2014
65,200100650000000000, URIQUE ,83498775.31,13749785.66,2554484,4186974.24,5622000,200000,3859396.2,350000,42263874.85,10712260.36,0,0,110108852.2,17279464.88,3965385.23,8918631.81,7879060.52,0,3038745.52,0,57575116.57,11452447.62,0,0,20386,2014
66,200100660000000000, URUACHI ,43069301.77,12316944.76,1618500,2185520.37,2491000,70000,1974574,170000,17933897,4308865.64,0,0,64957921.95,11824082.78,2563730.91,2709582.41,3972296.71,0,2427372.37,0,15712348.3,2991936.84,22756571.63,0,8200,2014
67,200100670000000000, VALLE DE ZARAGOZA ,27380173.07,9360560,2703000,4513898.37,3620571.4,410000,2360055.93,0,1729555.77,2682531.6,0,0,25894232.66,8826661.77,2849693.7,4933326.36,4084875.5,0,1252742.3,0,1786002.12,2160930.91,0,0,5105,2014
