Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
40,200100400000000000, MADERA ,119684759.7,44517262.52,4594874,11532490,3877915,8886976.35,120000,550000,32344141.05,13261100.76,0,0,107796734.6,57519703.84,3731011.3,10103718.92,10166591.38,19817.32,1833418.91,0,8030378.8,5498647.6,9822496.55,1070950,29611,2012
41,200100410000000000, MAGUARICHI ,17690771.75,7552400,2062200,1340648.94,1525220,614908,420000,0,3315087,860307.81,0,0,17481615.72,7032251.22,2812390.66,1324848.29,1333171.69,0,52651.76,0,2516023.95,887962.89,1522315.26,0,1921,2012
42,200100420000000000, MANUEL BENAVIDES ,19414027.59,8220081.94,1314700,2398650,2444000,1431433.65,1334382,358435,1195347,716998,0,0,17696171.6,6660748.92,1182332.59,1808571.83,2851642.39,0,2373680.41,0,441518.5,738996.73,1638680.23,0,1601,2012
43,200100430000000000, MATACHI,17852123,6247458,1482000,2262000,2610866,107500,940200,1015000,1796992,1390107,0,0,20295931.99,5840097.2,1660074.54,2630649.43,3391697.79,0,840950.05,0,1553269.33,1398902.85,2980290.8,0,3104,2012
44,200100440000000000, MATAMOROS ,20136787.31,7337055.24,1603000,3432700,1824604.76,356800,1683700.36,0,1884078,2014848.95,0,0,21903195.93,7645677.21,1435943.81,3272362.68,1716125.34,0,2269765.16,0,1209242.44,1955984.3,2398094.99,0,4499,2012
45,200100450000000000, MEOQUI ,98909715.82,35110606.45,6023131.1,10420806,5020250,400000,11543751.95,3000000,7760836,19630334.32,0,0,107032108.8,42797680.46,7147896.61,16980463.53,4940594.55,6500,2039280.81,854678.04,9518731.3,14951051.21,6269096.74,1526135.55,43833,2012
46,200100460000000000, MORELOS ,41485139.5,8194300,1344560.33,2371000,3048633.02,260000,1294892.89,0,21235393,3736360.26,0,0,39660761.17,8129620.04,1230676.46,2718340.74,3471085.96,0,210487.7,0,20837518.13,3063016.06,16.08,0,8343,2012
47,200100470000000000, MORIS ,25183560.39,6779741,2590394.62,2429288.17,1205000,372000,1552088.27,0,7876202.42,2378845.91,0,0,23637314.94,6573775.3,2283171.05,3182841.01,1886067.59,0,845527.69,0,3912275.91,2191614.95,2727041.44,35000,5312,2012
48,200100480000000000, NAMIQUIPA ,68557298.17,20376816.86,4325238.14,8579200,3863000,2002000,7799772.57,3548500,7816106,10246664.6,0,0,71507824.18,26645860.4,5286913.84,13078453.98,3444987.86,0,1842179.37,93571.8,4128737.84,9798234.66,7188884.43,0,22880,2012
49,200100490000000000, NONOAVA ,18958063.98,6514190.84,1067200,2213765.08,2435320,90000,1105705.17,1032069.1,3223907,1275906.79,0,0,27724312.3,5604434.36,1091390.72,2416101.26,2828572.7,0,1717705.57,0,3660676.68,621228.62,9678215.59,105986.8,2849,2012
50,200100500000000000, NUEVO CASAS GRANDES ,144263382.4,65553174.82,8712427,18706166.4,4095000,1530600,6205092.48,3244453.13,9642765,26573703.55,0,0,150657820.05,66567304.92,7828499.77,19036656.13,4302918.61,,9168549.27,,7629316.11,24264377.3,11860197.94,,59337,2012
51,200100510000000000, OCAMPO ,42020856.28,9098350.8,3582000,3360000,3144000,96240.04,5640211.44,0,13720626,3379428,0,0,29404291.39,6877581.13,1955426.62,3188057.73,3601819.02,0,2575428.61,0,7762298.61,3055525.51,388154.16,0,7546,2012
52,200100520000000000, OJINAGA ,77905541.5,31158727.22,5594120,9588733,5389000,1986000,5215457.74,0,7193422,11780081.54,0,0,82670539.77,37433213.91,4698377.51,6089726.45,5444619.34,0,8478650.5,524800.61,4185557.72,10424348.22,4045358.37,1345887.14,26304,2012
53,200100530000000000, PRAXEDIS G. GUERRERO ,21731440.05,7929595.36,2199500,3849000,1220679.86,457600,1472925.9,396766.86,2056170,2149202.07,0,0,17755951.03,7670213.02,2127808.68,2174846.88,1168319.15,1798,376824.58,0,1218964.14,1127164.94,1890011.64,0,4799,2012
54,200100540000000000, RIVA PALACIO ,36769015.35,9436206,3511000,5467265.47,4626000,382000,4000000,0,5758420,3588123.88,0,0,52231265.55,10363725.99,6396696.15,7744346.05,3756311.6,0,6394359.51,0,1525868.48,2796261.91,13253695.86,0,8012,2012
55,200100550000000000, ROSALES ,40862962.26,13091379.36,3761147.23,4902347.18,2712316.06,608267.63,3361023.74,2078000,2831424.01,7517057.05,0,0,41360267.88,17737468.42,4821517.29,4344112.76,2731803.85,1000,587352.36,25235.84,3928003.47,107305.8,7076468.09,0,16785,2012
56,200100560000000000, ROSARIO ,18993038.34,5957139.38,2423500,2416113.01,2723456,155000,1133298.97,66403.24,3117197,1000930.74,0,0,19651519.32,5731110.14,2176657.91,3136435.52,2694287.5,0,1193906.48,0,1145400.05,914178,2659543.72,0,2235,2012
57,200100570000000000, SAN FRANCISCO DE BORJA,17586622.19,7834433.1,1441000,3126315.97,1325512,622000,846148.97,0,1365650,1025562.15,0,0,17967571.62,7390481.43,2005480.32,3161318.77,1581264.2,0,549971.66,0,1322380.23,142712.93,1749921.73,64040.35,2290,2012
58,200100580000000000, SAN FRANCISCO DE CONCHOS ,18787291.25,8265633.74,1267070.69,2157900,2931580,360000,847048.97,450000,1172140,1335917.85,0,0,19351801.2,7526271.52,2001571.5,2739750.72,3531550.43,0,614273.18,0,479655.43,972332.59,1486395.83,0,2983,2012
59,200100590000000000, SAN FRANCISCO DEL ORO ,33588730.13,18331062,1872300.08,3285616.79,2934558,72000,1800000,1384424,1780168,2128601.26,0,0,31915556.49,20776170.99,1689191.47,2776953.95,2226712.36,0,2035562.69,0,771.4,1858297.03,551432.6,464,4753,2012
60,200100600000000000, SANTA BARBARA ,56805409.99,28788250,2788433.5,5485686,2996645,190000,7288043.81,3093746.25,2604397,3570208.43,0,0,52763977.49,30858840.66,2924378.86,5783439.12,3219112.14,0,3625381.61,0,1946321,3522560.1,0,883944,10427,2012
61,200100610000000000, SANTA ISABEL ,21702763.6,8467769.25,1218000,3332957.4,1217696,110000,1071282.78,2263881.4,2258016,1763160.77,0,0,20873189.21,7142983.12,1029296.83,3871693.04,1707898.87,0,2406901.1,0,751267.48,1468460.33,1760070.39,734618.05,3937,2012
62,200100620000000000, SATEVO,25953999.75,7885075.95,4536946.49,4242100,1460000,670000,2333952.56,500000,2685921,1640003.75,0,0,23881017.42,8600396.14,5247009.68,2843318.78,1485369.71,0,1642082.09,0,1339601.84,1872801.02,440098.35,410339.81,3662,2012
63,200100630000000000, SAUCILLO ,81080152,29238849,4339100,4798703,6547292,1914000,8841522,5363084,5561055,14476547,0,0,89761493.94,31924192.53,8467526.37,11607105.4,10451652.26,0,19796,0,9328937.85,12034772,0,5927511.53,32325,2012
64,200100640000000000, TEMOSACHIC ,33232033,7455592,2843000,3358000,3616200,300000,1566943,410907,10899834,2781557,0,0,34027284.03,7741742.56,3507634.75,2794324.07,3597405.03,0,3077144.45,0,6921810.48,2475316.66,3911906.03,0,6211,2012
65,200100650000000000, URIQUE ,73546789.85,12608625.52,2323521.36,4460350,4571800,430000,3311307.78,0,36711442.86,9129742.33,0,0,79816855.35,12384996.73,3010039.34,5069199.45,4674308.89,0,3183740.4,0,43074502.79,8222817.75,0,197250,20386,2012
